short_code,date,value,amount
PRINCIPAL VNTG7M1,2022-04-08,9.8712,813176716.16
PRINCIPAL VNTG7M1,2022-04-12,9.8625,812461446.29
PRINCIPAL VNTG7M1,2022-04-18,9.7741,805177267.06
PRINCIPAL VNTG7M1,2022-04-19,9.6792,797357762.35
PRINCIPAL VNTG7M1,2022-04-20,9.648,794791078.61
PRINCIPAL VNTG7M1,2022-04-21,9.6536,795251796.64
PRINCIPAL VNTG7M1,2022-04-22,9.6817,797566261.77
PRINCIPAL VNTG7M1,2022-04-25,9.3214,767883620.53
PRINCIPAL VNTG7M1,2022-04-26,9.5315,785189882.73
PRINCIPAL VNTG7M1,2022-04-27,9.6074,791444985.68
PRINCIPAL VNTG7M1,2022-04-28,9.6297,793277714.04
PRINCIPAL VNTG7M1,2022-04-29,9.6158,792136125.57
PRINCIPAL VNTG7M1,2022-05-05,9.559,787459638.47
PRINCIPAL VNTG7M1,2022-05-06,9.4219,776161274.76
PRINCIPAL VNTG7M1,2022-05-09,9.0392,744637602.8
PRINCIPAL VNTG7M1,2022-05-10,9.1931,757316308.24
PRINCIPAL VNTG7M1,2022-05-11,9.2801,764478762.15
PRINCIPAL VNTG7M1,2022-05-12,8.8623,730063760.89
PRINCIPAL VNTG7M1,2022-05-13,8.4739,698067664.59
PRINCIPAL VNTG7M1,2022-05-17,8.5969,708198438.38
PRINCIPAL VNTG7M1,2022-05-18,8.7103,717543044.66
PRINCIPAL VNTG7M1,2022-05-19,8.8515,729175048.35
PRINCIPAL VNTG7M1,2022-05-20,8.6912,715969213.63
PRINCIPAL VNTG7M1,2022-05-23,8.4895,699350714.65
PRINCIPAL VNTG7M1,2022-05-24,8.6263,710624592.06
PRINCIPAL VNTG7M1,2022-05-25,8.9243,735172522.58
PRINCIPAL VNTG7M1,2022-05-26,8.9459,736949737.95
PRINCIPAL VNTG7M1,2022-05-27,9.1003,749667810.67
PRINCIPAL VNTG7M1,2022-05-31,9.1777,756048541.96
PRINCIPAL VNTG7M1,2022-06-01,9.2585,762705022.4
PRINCIPAL VNTG7M1,2022-06-02,9.1434,753220780.98
PRINCIPAL VNTG7M1,2022-06-06,9.167,755161923.33
PRINCIPAL VNTG7M1,2022-06-07,9.1949,757466040.33
PRINCIPAL VNTG7M1,2022-06-08,9.3474,770027228.97
PRINCIPAL VNTG7M1,2022-06-09,9.3303,768613752.48
PRINCIPAL VNTG7M1,2022-06-10,9.2659,763312226.41
PRINCIPAL VNTG7M1,2022-06-13,8.8337,727706590.64
PRINCIPAL VNTG7M1,2022-06-14,8.9067,733725445.12
PRINCIPAL VNTG7M1,2022-06-15,8.8359,727890113.33
PRINCIPAL VNTG7M1,2022-06-16,8.927,735393772.06
PRINCIPAL VNTG7M1,2022-06-17,8.7906,724157135.92
PRINCIPAL VNTG7M1,2022-06-21,8.5044,700585417.62
PRINCIPAL VNTG7M1,2022-06-22,8.5396,703479176.06
PRINCIPAL VNTG7M1,2022-06-23,8.6556,713038188.51
PRINCIPAL VNTG7M1,2022-06-24,8.5643,705518704.08
PRINCIPAL VNTG7M1,2022-06-27,8.7356,719628999.86
PRINCIPAL VNTG7M1,2022-06-28,8.8931,732598855.49
PRINCIPAL VNTG7M1,2022-06-29,8.8994,733123699.32
PRINCIPAL VNTG7M1,2022-06-30,8.77,722460376.44
PRINCIPAL VNTG7M1,2022-07-01,8.8136,726051760.32
PRINCIPAL VNTG7M1,2022-07-05,8.7014,716806221.75
PRINCIPAL VNTG7M1,2022-07-06,8.5703,706011833.87
PRINCIPAL VNTG7M1,2022-07-07,8.6716,714352157.39
PRINCIPAL VNTG7M1,2022-07-08,8.6537,712878077.56
PRINCIPAL VNTG7M1,2022-07-11,8.5531,704592788.47
PRINCIPAL VNTG7M1,2022-07-12,8.6226,710320772.77
PRINCIPAL VNTG7M1,2022-07-14,8.6786,714932649.24
PRINCIPAL VNTG7M1,2022-07-15,8.6632,713664446.48
PRINCIPAL VNTG7M1,2022-07-18,8.6252,710530605.9
PRINCIPAL VNTG7M1,2022-07-19,8.5741,706322065.22
PRINCIPAL VNTG7M1,2022-07-20,8.6734,714502597.28
PRINCIPAL VNTG7M1,2022-07-21,8.781,723366119.96
PRINCIPAL VNTG7M1,2022-07-22,8.7654,722083474.47
PRINCIPAL VNTG7M1,2022-07-25,8.6984,716564632.91
PRINCIPAL VNTG7M1,2022-07-26,8.7247,718729924.94
PRINCIPAL VNTG7M1,2022-07-27,8.7382,719844519.03
PRINCIPAL VNTG7M1,2022-08-01,8.97,738934761.96
PRINCIPAL VNTG7M1,2022-08-02,9.0139,742554021.23
PRINCIPAL VNTG7M1,2022-08-03,9.0533,745798075.67
PRINCIPAL VNTG7M1,2022-08-04,9.037,744454500.06
